strain,type,potency,rating,review_count,reports,Anxiety ,Creative ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Focused ,Happy ,Headache ,Insomnia ,Pain ,Paranoid ,Stress ,Uplifted ,ADD/ADHD ,Fatigue ,Giggly ,Muscle spasms ,Relaxed ,Energetic ,Inflammation ,Cramps ,Headaches ,Sleepy ,Tingly ,Hungry ,Anxious ,PTSD ,Lack of appetite ,Talkative ,Nausea ,Bipolar disorder ,Fibromyalgia ,Spasticity ,Migraines ,Aroused ,Eye pressure ,Multiple sclerosis ,Gastrointestinal disorder ,Alzheimer's ,PMS ,Arthritis ,Epilepsy ,Seizures ,Asthma ,Parkinson's ,Spinal cord injury ,Tourette's syndrome ,Anorexia ,Tinnitus ,Cancer ,Muscular dystrophy ,Phantom limb pain ,Hypertension ,Crohn's disease ,Glaucoma ,HIV/AIDS 
Cherry Sauce,Hybrid,Unavailable,5.0,(2),2 people reported 10 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,['50% of people report feeling dry eyes'],['50% of people report feeling dry mouth'],,['50% of people report feeling focused'],['50% of people report feeling happy'],,,,,,['50% of people report feeling uplifted'],,,,,,,,,,,['50% of people report feeling tingly'],,,,,['50% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Sherbet,Hybrid,THC 13%,4.3,(34),23 people reported 164 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['21% of people say it helps with anxiety'],,['21% of people say it helps with depression'],['17% of people report feeling dizzy'],['21% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],['26% of people report feeling euphoric'],,['34% of people report feeling happy'],,,['26% of people say it helps with pain'],['8% of people report feeling paranoid'],['34% of people say it helps with stress'],['21% of people report feeling uplifted'],,,,,['39% of people report feeling relaxed'],,,['17% of people say it helps with cramps'],,,,,['4% of people report feeling anxious'],,,,,,,,,['26% of people report feeling aroused'],,,,,,,,,,,,,,,,,,,,,
Cherry Skunk,Hybrid,THC 21%,4.3,(71),43 people reported 424 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],['48% of people report feeling creative'],['44% of people say it helps with depression'],['11% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['65% of people report feeling euphoric'],,['74% of people report feeling happy'],,,['48% of people say it helps with pain'],['2% of people report feeling paranoid'],['44% of people say it helps with stress'],['46% of people report feeling uplifted'],,['25% of people say it helps with fatigue'],,,['60% of people report feeling relaxed'],,,,,,,,['6% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Slyder,Hybrid,THC 25%,4.9,(8),4 people reported 30 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['50% of people say it helps with anxiety'],,,,,['25% of people report feeling dry mouth'],,['75% of people report feeling focused'],['75% of people report feeling happy'],,,['25% of people say it helps with pain'],,,['75% of people report feeling uplifted'],,,,,['75% of people report feeling relaxed'],,,,,,,,,,,['50% of people report feeling talkative'],,,,,['25% of people say it helps with migraines'],,,,['25% of people say it helps with gastrointestinal disorder'],,,,,,,,,,['25% of people say it helps with anorexia'],,,,,,,,
Cherry Star,Unavailable,THC 20%,5.0,(1),1 people reported 6 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['100% of people report feeling euphoric'],,['100% of people report feeling happy'],,,,,,['100% of people report feeling uplifted'],,,,,['100% of people report feeling relaxed'],,,,,,['100% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Sunrise,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Thunder Fuck,Hybrid,Unavailable,4.8,(36),28 people reported 215 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['39% of people say it helps with anxiety'],,['28% of people say it helps with depression'],,['7% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],['67% of people report feeling euphoric'],['39% of people report feeling focused'],['75% of people report feeling happy'],,,['28% of people say it helps with pain'],['3% of people report feeling paranoid'],['35% of people say it helps with stress'],['57% of people report feeling uplifted'],,,,,['46% of people report feeling relaxed'],,,,,,,,,['28% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Trance,Unavailable,THC 14%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Vanilla Cookies,Hybrid,THC 22%,4.9,(7),3 people reported 25 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['33% of people say it helps with depression'],,,['33% of people report feeling dry mouth'],,,['66% of people report feeling happy'],,['33% of people say it helps with insomnia'],,,,['33% of people report feeling uplifted'],,,,['33% of people say it helps with muscle spasms'],['66% of people report feeling relaxed'],,,,['33% of people say it helps with headaches'],['66% of people report feeling sleepy'],,['33% of people report feeling hungry'],,,['33% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Vortex,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Wine,Hybrid,CBD 15%,4.8,(35),29 people reported 194 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['34% of people say it helps with anxiety'],,['27% of people say it helps with depression'],,['10% of people report feeling dry eyes'],['6% of people report feeling dry mouth'],['48% of people report feeling euphoric'],['31% of people report feeling focused'],['41% of people report feeling happy'],['3% of people report feeling headache'],,['37% of people say it helps with pain'],['3% of people report feeling paranoid'],['44% of people say it helps with stress'],['37% of people report feeling uplifted'],,,,,['68% of people report feeling relaxed'],,['24% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Wine Cure,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Wu,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Zkittlez,Unavailable,THC 20%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire Fox,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire Kush,Hybrid,THC 17%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chewbacca,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chex,Hybrid,THC 21%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Typewriter,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicle,Hybrid,Unavailable,4.8,(6),4 people reported 9 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['50% of people report feeling euphoric'],['50% of people report feeling focused'],['25% of people report feeling happy'],,,,,,,,,,,,['25% of people report feeling energetic'],,,,,,['50% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiesel,Hybrid,THC 21%,4.3,(250),178 people reported 1366 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['24% of people say it helps with anxiety'],['41% of people report feeling creative'],['28% of people say it helps with depression'],['2% of people report feeling dizzy'],['19% of people report feeling dry eyes'],['32% of people report feeling dry mouth'],['56% of people report feeling euphoric'],,['65% of people report feeling happy'],['2% of people report feeling headache'],,['28% of people say it helps with pain'],['5% of people report feeling paranoid'],['39% of people say it helps with stress'],['55% of people report feeling uplifted'],,,,,['47% of people report feeling relaxed'],,,,['12% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile Verde,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chili Verde,Hybrid,THC 21%,4.4,(11),8 people reported 44 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,['12% of people report feeling dizzy'],['12% of people report feeling dry eyes'],,['62% of people report feeling euphoric'],['37% of people report feeling focused'],['37% of people report feeling happy'],,,['12% of people say it helps with pain'],,['12% of people say it helps with stress'],,,,,['12% of people say it helps with muscle spasms'],['50% of people report feeling relaxed'],,,,,,,['37% of people report feeling hungry'],,,,,,,,['12% of people say it helps with spasticity'],,,,,,,,,,['12% of people say it helps with seizures'],,,,,,,,,,,,,
China Berry,Hybrid,THC 16%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Yunnan,Indica,Unavailable,4.4,(9),7 people reported 57 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],,['42% of people say it helps with depression'],,['28% of people report feeling dry eyes'],['28% of people report feeling dry mouth'],['57% of people report feeling euphoric'],,['71% of people report feeling happy'],['14% of people report feeling headache'],,,,['42% of people say it helps with stress'],['71% of people report feeling uplifted'],,['14% of people say it helps with fatigue'],,,['100% of people report feeling relaxed'],,,,['14% of people say it helps with headaches'],['71% of people report feeling sleepy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiquita Banana,Hybrid,THC 26%,4.9,(48),28 people reported 181 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['32% of people report feeling creative'],['21% of people say it helps with depression'],,['10% of people report feeling dry eyes'],['17% of people report feeling dry mouth'],['57% of people report feeling euphoric'],,['75% of people report feeling happy'],,['17% of people say it helps with insomnia'],['28% of people say it helps with pain'],['7% of people report feeling paranoid'],['32% of people say it helps with stress'],['46% of people report feeling uplifted'],,,,,['64% of people report feeling relaxed'],,,,,,,,,,['14% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chisel,Unavailable,THC 20%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chitral Sunset,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloe,Hybrid,Unavailable,4.9,(36),15 people reported 109 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['26% of people say it helps with depression'],,['6% of people report feeling dry eyes'],,['66% of people report feeling euphoric'],,['73% of people report feeling happy'],,['20% of people say it helps with insomnia'],['20% of people say it helps with pain'],,['20% of people say it helps with stress'],['53% of people report feeling uplifted'],,,,,['53% of people report feeling relaxed'],['53% of people report feeling energetic'],,,,,,,,['33% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choco Grape Diesel,Unavailable,Unavailable,3.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocoholic,Hybrid,THC 17%,4.0,(1),1 people reported 5 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,,['100% of people report feeling happy'],,,,,,['100% of people report feeling uplifted'],,,,,['100% of people report feeling relaxed'],,,,,['100% of people report feeling sleepy'],,,,,,['100% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Cheesecake,Hybrid,Unavailable,4.7,(3),3 people reported 7 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,,,,,,,,['66% of people report feeling uplifted'],,,,,['100% of people report feeling relaxed'],,,,,['33% of people report feeling sleepy'],,['33% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Chem,Unavailable,THC 17%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Chunk,Indica,THC 18%,4.1,(202),139 people reported 1071 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['35% of people say it helps with anxiety'],,['28% of people say it helps with depression'],['8% of people report feeling dizzy'],['17% of people report feeling dry eyes'],['30% of people report feeling dry mouth'],['35% of people report feeling euphoric'],,['43% of people report feeling happy'],['7% of people report feeling headache'],['29% of people say it helps with insomnia'],['32% of people say it helps with pain'],,['36% of people say it helps with stress'],['32% of people report feeling uplifted'],,,,,['64% of people report feeling relaxed'],,,,,['53% of people report feeling sleepy'],,,['5% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Cream,Unavailable,THC 18%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Diesel,Sativa,THC 24%,4.7,(68),48 people reported 380 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],['50% of people report feeling creative'],['27% of people say it helps with depression'],['6% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['62% of people report feeling euphoric'],,['60% of people report feeling happy'],,,['18% of people say it helps with pain'],['6% of people report feeling paranoid'],['35% of people say it helps with stress'],['54% of people report feeling uplifted'],,['22% of people say it helps with fatigue'],,,,['64% of people report feeling energetic'],,,,,,,['10% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Drop,Hybrid,Unavailable,5.0,(2),2 people reported 12 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['50% of people say it helps with anxiety'],,['100% of people say it helps with depression'],,,,['50% of people report feeling euphoric'],,['50% of people report feeling happy'],,['50% of people say it helps with insomnia'],,,['100% of people say it helps with stress'],['50% of people report feeling uplifted'],,,['50% of people report feeling giggly'],,['50% of people report feeling relaxed'],,,,,,,,,['50% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Fondue,Sativa,THC 20%,4.5,(66),49 people reported 388 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['16% of people say it helps with anxiety'],,['28% of people say it helps with depression'],['8% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['67% of people report feeling euphoric'],['48% of people report feeling focused'],['71% of people report feeling happy'],['6% of people report feeling headache'],,,,['32% of people say it helps with stress'],['65% of people report feeling uplifted'],,,,,,['51% of people report feeling energetic'],,,,,,,['8% of people report feeling anxious'],,['16% of people say it helps with lack of appetite'],,['14% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Frosted Sherbet,Unavailable,THC 25%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Glue,Indica,THC 20%,4.3,(9),4 people reported 24 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['25% of people say it helps with depression'],,,,,['75% of people report feeling focused'],['75% of people report feeling happy'],,['25% of people say it helps with insomnia'],['25% of people say it helps with pain'],,['50% of people say it helps with stress'],['75% of people report feeling uplifted'],,['25% of people say it helps with fatigue'],,,['75% of people report feeling relaxed'],,,,,['25% of people report feeling sleepy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Grape Diesel,Hybrid,THC 22%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Grape Disel,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Hashberry,Hybrid,THC 17%,4.5,(120),90 people reported 650 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['24% of people say it helps with anxiety'],['26% of people report feeling creative'],['17% of people say it helps with depression'],['4% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['15% of people report feeling dry mouth'],['43% of people report feeling euphoric'],,['56% of people report feeling happy'],,,['31% of people say it helps with pain'],['7% of people report feeling paranoid'],['32% of people say it helps with stress'],['41% of people report feeling uplifted'],,,,,['67% of people report feeling relaxed'],,,,,,,,['6% of people report feeling anxious'],,['16% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Kush,Indica,THC 18%,4.5,(81),50 people reported 336 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],,['12% of people say it helps with depression'],['12% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['24% of people report feeling dry mouth'],['48% of people report feeling euphoric'],,['52% of people report feeling happy'],['2% of people report feeling headache'],['14% of people say it helps with insomnia'],['16% of people say it helps with pain'],,['28% of people say it helps with stress'],['42% of people report feeling uplifted'],,,,,['86% of people report feeling relaxed'],,,,,['40% of people report feeling sleepy'],,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Lava,Hybrid,Unavailable,4.7,(3),3 people reported 39 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['100% of people say it helps with anxiety'],,['100% of people say it helps with depression'],,,['33% of people report feeling dry mouth'],,['66% of people report feeling focused'],['66% of people report feeling happy'],,,['66% of people say it helps with pain'],,['100% of people say it helps with stress'],['66% of people report feeling uplifted'],,,,,['66% of people report feeling relaxed'],,,['33% of people say it helps with cramps'],,,,,,,,['100% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Malawi,Unavailable,THC 16%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Meringue,Indica,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Mint OG,Hybrid,Unavailable,4.7,(26),18 people reported 162 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['55% of people say it helps with anxiety'],,['33% of people say it helps with depression'],,['11% of people report feeling dry eyes'],['27% of people report feeling dry mouth'],['50% of people report feeling euphoric'],,['61% of people report feeling happy'],,['38% of people say it helps with insomnia'],['27% of people say it helps with pain'],,['27% of people say it helps with stress'],['44% of people report feeling uplifted'],,,,,['72% of people report feeling relaxed'],,,,,,,['44% of people report feeling hungry'],['11% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate OG,Indica,THC 12%,4.8,(45),33 people reported 223 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['24% of people say it helps with anxiety'],,['30% of people say it helps with depression'],['3% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['18% of people report feeling dry mouth'],['57% of people report feeling euphoric'],,['72% of people report feeling happy'],['3% of people report feeling headache'],['18% of people say it helps with insomnia'],['21% of people say it helps with pain'],,['24% of people say it helps with stress'],,,,['39% of people report feeling giggly'],,['72% of people report feeling relaxed'],,,,,['45% of people report feeling sleepy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Oranges,Hybrid,THC 22%,4.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Rain,Hybrid,Unavailable,5.0,(5),2 people reported 10 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,['50% of people report feeling focused'],['100% of people report feeling happy'],,,,,,['100% of people report feeling uplifted'],['50% of people say it helps with add/adhd'],,,,,['100% of people report feeling energetic'],,,,,,,,,,['50% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Skunk,Sativa,Unavailable,4.5,(11),3 people reported 21 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['66% of people say it helps with anxiety'],,['33% of people say it helps with depression'],,['33% of people report feeling dry eyes'],,,['66% of people report feeling focused'],['66% of people report feeling happy'],,,,,['66% of people say it helps with stress'],['33% of people report feeling uplifted'],,['33% of people say it helps with fatigue'],['33% of people report feeling giggly'],,,['33% of people report feeling energetic'],,,,,,,,,['33% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Thai,Sativa,THC 15%,4.2,(123),86 people reported 645 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['23% of people say it helps with anxiety'],,['25% of people say it helps with depression'],['1% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['24% of people report feeling dry mouth'],['43% of people report feeling euphoric'],['40% of people report feeling focused'],['55% of people report feeling happy'],,,['17% of people say it helps with pain'],['3% of people report feeling paranoid'],['38% of people say it helps with stress'],['50% of people report feeling uplifted'],,['13% of people say it helps with fatigue'],,,['46% of people report feeling relaxed'],,,,,,,,['1% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Thunder,Sativa,Unavailable,3.7,(11),6 people reported 60 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['83% of people report feeling creative'],['16% of people say it helps with depression'],,,['33% of people report feeling dry mouth'],,['66% of people report feeling focused'],['83% of people report feeling happy'],,,,['16% of people report feeling paranoid'],['66% of people say it helps with stress'],['83% of people report feeling uplifted'],,['16% of people say it helps with fatigue'],,,,['66% of people report feeling energetic'],['16% of people say it helps with inflammation'],,['16% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Tonic,Hybrid,CBD 9%,4.0,(3),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolatina,Sativa,THC 20%,5.0,(3),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolony,Hybrid,THC 20%,4.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolope,Sativa,THC 16%,4.3,(1323),941 people reported 6601 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],['37% of people report feeling creative'],['32% of people say it helps with depression'],['5% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['47% of people report feeling euphoric'],,['59% of people report feeling happy'],,,['18% of people say it helps with pain'],['4% of people report feeling paranoid'],['41% of people say it helps with stress'],['58% of people report feeling uplifted'],,['15% of people say it helps with fatigue'],,,,['46% of people report feeling energetic'],,,,,,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolope Kush,Hybrid,THC 16%,3.9,(141),100 people reported 772 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['31% of people say it helps with anxiety'],['37% of people report feeling creative'],['25% of people say it helps with depression'],['12% of people report feeling dizzy'],['21% of people report feeling dry eyes'],['42% of people report feeling dry mouth'],['43% of people report feeling euphoric'],,['45% of people report feeling happy'],['11% of people report feeling headache'],['24% of people say it helps with insomnia'],['34% of people say it helps with pain'],['10% of people report feeling paranoid'],['49% of people say it helps with stress'],['41% of people report feeling uplifted'],,,,,['47% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chong Star,Hybrid,Unavailable,4.5,(25),17 people reported 121 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['23% of people say it helps with anxiety'],['35% of people report feeling creative'],['17% of people say it helps with depression'],,,,['47% of people report feeling euphoric'],,['64% of people report feeling happy'],,,['23% of people say it helps with pain'],,['29% of people say it helps with stress'],['52% of people report feeling uplifted'],,,,,['82% of people report feeling relaxed'],,,,,,,,,,['17% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chosen,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Lights,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronald,Hybrid,Unavailable,4.8,(12),5 people reported 10 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['20% of people say it helps with anxiety'],,,,,,,,['20% of people report feeling happy'],,,,,,['20% of people report feeling uplifted'],,,['20% of people report feeling giggly'],,,,,,,,,['20% of people report feeling hungry'],,,,['20% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic,Hybrid,THC 15%,4.4,(177),100 people reported 766 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],,['27% of people say it helps with depression'],['11% of people report feeling dizzy'],['21% of people report feeling dry eyes'],['38% of people report feeling dry mouth'],['40% of people report feeling euphoric'],,['68% of people report feeling happy'],,,['15% of people say it helps with pain'],['19% of people report feeling paranoid'],['31% of people say it helps with stress'],['42% of people report feeling uplifted'],,,['51% of people report feeling giggly'],,['44% of people report feeling relaxed'],,,,,,,,['8% of people report feeling anxious'],,['17% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
