strain,type,potency,rating,review_count,reports,Anxiety ,Anxious ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Happy ,Insomnia ,Pain ,Paranoid ,Relaxed ,Sleepy ,Stress ,Uplifted ,Hungry ,Creative ,Headache ,Energetic ,Fatigue ,PTSD ,Talkative ,Focused ,Headaches ,Lack of appetite ,Tingly ,Nausea ,Giggly ,Eye pressure ,Cramps ,Muscle spasms ,Bipolar disorder ,Inflammation ,Gastrointestinal disorder ,Migraines ,Asthma ,Aroused ,Spasticity ,ADD/ADHD ,PMS ,Arthritis ,Seizures ,Fibromyalgia ,Glaucoma ,Crohn's disease ,Cancer ,Spinal cord injury ,Hypertension ,Phantom limb pain ,Anorexia ,Epilepsy ,Tourette's syndrome ,Multiple sclerosis 
Sweet Tooth,Indica,THC 18%,4.2,(623),442 people reported 3444 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['36% of people say it helps with anxiety'],['4% of people report feeling anxious'],['27% of people say it helps with depression'],['4% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],['54% of people report feeling euphoric'],['61% of people report feeling happy'],['20% of people say it helps with insomnia'],['32% of people say it helps with pain'],['6% of people report feeling paranoid'],['56% of people report feeling relaxed'],,['38% of people say it helps with stress'],['43% of people report feeling uplifted'],,['29% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon,Indica,THC 19%,4.3,(122),88 people reported 688 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],['3% of people report feeling anxious'],,['12% of people report feeling dizzy'],['19% of people report feeling dry eyes'],['26% of people report feeling dry mouth'],['52% of people report feeling euphoric'],['47% of people report feeling happy'],['29% of people say it helps with insomnia'],['32% of people say it helps with pain'],['5% of people report feeling paranoid'],['60% of people report feeling relaxed'],['38% of people report feeling sleepy'],['40% of people say it helps with stress'],['27% of people report feeling uplifted'],,,,,,,,,,,,['26% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Panties,Indica,THC 16%,4.4,(41),34 people reported 154 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['2% of people report feeling anxious'],['8% of people say it helps with depression'],,['5% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],['35% of people report feeling euphoric'],['26% of people report feeling happy'],['17% of people say it helps with insomnia'],['17% of people say it helps with pain'],,['70% of people report feeling relaxed'],['32% of people report feeling sleepy'],['8% of people say it helps with stress'],,,,['8% of people report feeling headache'],,,,,['29% of people report feeling focused'],,,,,,,,,,['11% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,
Strawberry Diesel,Hybrid,THC 16%,4.4,(310),228 people reported 1718 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['28% of people say it helps with depression'],['7% of people report feeling dizzy'],['17% of people report feeling dry eyes'],['38% of people report feeling dry mouth'],['47% of people report feeling euphoric'],['64% of people report feeling happy'],['15% of people say it helps with insomnia'],['24% of people say it helps with pain'],['9% of people report feeling paranoid'],['46% of people report feeling relaxed'],,['38% of people say it helps with stress'],['52% of people report feeling uplifted'],,['34% of people report feeling creative'],['4% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookie Dough,Hybrid,THC 19%,4.5,(79),54 people reported 380 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['20% of people say it helps with anxiety'],['1% of people report feeling anxious'],['20% of people say it helps with depression'],['9% of people report feeling dizzy'],['22% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['46% of people report feeling euphoric'],['51% of people report feeling happy'],,['24% of people say it helps with pain'],['3% of people report feeling paranoid'],['68% of people report feeling relaxed'],,['18% of people say it helps with stress'],['40% of people report feeling uplifted'],['38% of people report feeling hungry'],,,,,,,,,['12% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Kush,Hybrid,THC 17%,4.1,(642),469 people reported 3573 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['26% of people say it helps with depression'],['10% of people report feeling dizzy'],['24% of people report feeling dry eyes'],['39% of people report feeling dry mouth'],['46% of people report feeling euphoric'],['61% of people report feeling happy'],['14% of people say it helps with insomnia'],['30% of people say it helps with pain'],['7% of people report feeling paranoid'],['49% of people report feeling relaxed'],,['41% of people say it helps with stress'],['46% of people report feeling uplifted'],['28% of people report feeling hungry'],,['4% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cake Batter,Hybrid,THC 22%,4.9,(13),5 people reported 23 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,['20% of people report feeling dry mouth'],['80% of people report feeling euphoric'],['60% of people report feeling happy'],,,,['40% of people report feeling relaxed'],,,,,['60% of people report feeling creative'],,,,,['60% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorilla Cake,Hybrid,THC 20%,4.2,(26),14 people reported 37 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,['7% of people report feeling dry mouth'],['35% of people report feeling euphoric'],['42% of people report feeling happy'],,,,['35% of people report feeling relaxed'],['35% of people report feeling sleepy'],,['42% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Sativa,THC 21%,4.2,(163),114 people reported 836 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['20% of people say it helps with anxiety'],['7% of people report feeling anxious'],['29% of people say it helps with depression'],['5% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],['47% of people report feeling euphoric'],['71% of people report feeling happy'],,['21% of people say it helps with pain'],['8% of people report feeling paranoid'],['51% of people report feeling relaxed'],,['35% of people say it helps with stress'],['54% of people report feeling uplifted'],,['42% of people report feeling creative'],,,['13% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilac Diesel,Hybrid,Unavailable,4.5,(55),32 people reported 141 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],['9% of people report feeling anxious'],['25% of people say it helps with depression'],['9% of people report feeling dizzy'],,['3% of people report feeling dry mouth'],['34% of people report feeling euphoric'],['40% of people report feeling happy'],,['9% of people say it helps with pain'],['6% of people report feeling paranoid'],['37% of people report feeling relaxed'],,['18% of people say it helps with stress'],['43% of people report feeling uplifted'],,,['6% of people report feeling headache'],['28% of people report feeling energetic'],['9% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Plant,Sativa,THC 15%,4.1,(357),276 people reported 2062 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],['7% of people report feeling anxious'],['23% of people say it helps with depression'],['7% of people report feeling dizzy'],['27% of people report feeling dry eyes'],['39% of people report feeling dry mouth'],['53% of people report feeling euphoric'],['55% of people report feeling happy'],['11% of people say it helps with insomnia'],['27% of people say it helps with pain'],,,,['35% of people say it helps with stress'],['51% of people report feeling uplifted'],,,['7% of people report feeling headache'],['45% of people report feeling energetic'],,,['40% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triangle Mints,Hybrid,THC 29%,4.9,(12),6 people reported 17 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['16% of people say it helps with anxiety'],,['16% of people say it helps with depression'],,,,,,,['16% of people say it helps with pain'],,['33% of people report feeling relaxed'],['16% of people report feeling sleepy'],['16% of people say it helps with stress'],['50% of people report feeling uplifted'],,,,['50% of people report feeling energetic'],['16% of people say it helps with fatigue'],,,['33% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Diesel,Hybrid,THC 21%,4.5,(195),145 people reported 1019 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],['5% of people report feeling anxious'],['27% of people say it helps with depression'],['2% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['51% of people report feeling euphoric'],['55% of people report feeling happy'],,['20% of people say it helps with pain'],['4% of people report feeling paranoid'],['56% of people report feeling relaxed'],,['26% of people say it helps with stress'],['41% of people report feeling uplifted'],,,,['35% of people report feeling energetic'],['14% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Cake,Hybrid,THC 18%,4.9,(31),25 people reported 140 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['16% of people say it helps with anxiety'],,['24% of people say it helps with depression'],,,['12% of people report feeling dry mouth'],,['56% of people report feeling happy'],,,,['36% of people report feeling relaxed'],,['20% of people say it helps with stress'],['56% of people report feeling uplifted'],,['36% of people report feeling creative'],,['40% of people report feeling energetic'],['16% of people say it helps with fatigue'],,,,,,,,,,,,,['12% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,
Cat Piss,Sativa,THC 18%,3.8,(310),219 people reported 1604 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],,['24% of people say it helps with depression'],['11% of people report feeling dizzy'],['21% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],['45% of people report feeling euphoric'],['52% of people report feeling happy'],,['20% of people say it helps with pain'],['11% of people report feeling paranoid'],,,['36% of people say it helps with stress'],['50% of people report feeling uplifted'],,,['7% of people report feeling headache'],['42% of people report feeling energetic'],['10% of people say it helps with fatigue'],,['35% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandpa’s Stash,Hybrid,Unavailable,4.4,(37),21 people reported 78 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['14% of people say it helps with anxiety'],['9% of people report feeling anxious'],['19% of people say it helps with depression'],,['9% of people report feeling dry eyes'],['4% of people report feeling dry mouth'],['28% of people report feeling euphoric'],['33% of people report feeling happy'],['9% of people say it helps with insomnia'],['14% of people say it helps with pain'],,['52% of people report feeling relaxed'],,['9% of people say it helps with stress'],['33% of people report feeling uplifted'],,['23% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Kush Cake,Hybrid,THC 24%,4.7,(22),17 people reported 4 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['5% of people report feeling euphoric'],,,,,['5% of people report feeling relaxed'],,,,,['5% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,['5% of people report feeling aroused'],,,,,,,,,,,,,,,,
White Gold,Hybrid,THC 20%,4.6,(145),96 people reported 673 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['20% of people say it helps with anxiety'],,['18% of people say it helps with depression'],['3% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['27% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['59% of people report feeling happy'],,['17% of people say it helps with pain'],['5% of people report feeling paranoid'],['66% of people report feeling relaxed'],,['23% of people say it helps with stress'],['51% of people report feeling uplifted'],,,['3% of people report feeling headache'],,,,,['37% of people report feeling focused'],,['16% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sour Kush,Hybrid,THC 20%,4.2,(620),447 people reported 3575 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],['3% of people report feeling anxious'],['28% of people say it helps with depression'],['7% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['27% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['58% of people report feeling happy'],,['35% of people say it helps with pain'],['4% of people report feeling paranoid'],['57% of people report feeling relaxed'],,['38% of people say it helps with stress'],['52% of people report feeling uplifted'],,['33% of people report feeling creative'],,,,,,,,['13% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic,Indica,THC 21%,4.4,(36),21 people reported 96 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['9% of people say it helps with anxiety'],['9% of people report feeling anxious'],['19% of people say it helps with depression'],['9% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['28% of people report feeling euphoric'],['47% of people report feeling happy'],['9% of people say it helps with insomnia'],['14% of people say it helps with pain'],['9% of people report feeling paranoid'],['52% of people report feeling relaxed'],['28% of people report feeling sleepy'],['14% of people say it helps with stress'],['28% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Punch,Sativa,THC 23%,4.4,(102),78 people reported 569 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],['6% of people report feeling anxious'],['21% of people say it helps with depression'],['5% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['24% of people report feeling dry mouth'],['57% of people report feeling euphoric'],['73% of people report feeling happy'],,['23% of people say it helps with pain'],['7% of people report feeling paranoid'],['46% of people report feeling relaxed'],,['34% of people say it helps with stress'],['55% of people report feeling uplifted'],,['34% of people report feeling creative'],,,,,,,['16% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Queen,Hybrid,THC 15%,4.4,(597),423 people reported 2933 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],,['27% of people say it helps with depression'],['5% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['55% of people report feeling euphoric'],['60% of people report feeling happy'],,['21% of people say it helps with pain'],['4% of people report feeling paranoid'],['41% of people report feeling relaxed'],,['37% of people say it helps with stress'],['55% of people report feeling uplifted'],,['37% of people report feeling creative'],['3% of people report feeling headache'],,,,,,,,,['12% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Goji OG,Hybrid,THC 19%,4.4,(260),186 people reported 1201 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],['4% of people report feeling anxious'],['23% of people say it helps with depression'],['6% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['40% of people report feeling euphoric'],['52% of people report feeling happy'],,['21% of people say it helps with pain'],['2% of people report feeling paranoid'],['50% of people report feeling relaxed'],,['27% of people say it helps with stress'],['43% of people report feeling uplifted'],,['32% of people report feeling creative'],,,['11% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Tut,Sativa,THC 19%,4.5,(233),163 people reported 1234 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['19% of people say it helps with anxiety'],['7% of people report feeling anxious'],['26% of people say it helps with depression'],['4% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['46% of people report feeling euphoric'],['63% of people report feeling happy'],,['15% of people say it helps with pain'],['6% of people report feeling paranoid'],,,['28% of people say it helps with stress'],['59% of people report feeling uplifted'],,,,['58% of people report feeling energetic'],['11% of people say it helps with fatigue'],,,['52% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chernobyl,Hybrid,THC 18%,4.3,(802),584 people reported 4390 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],['4% of people report feeling anxious'],['32% of people say it helps with depression'],['5% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['27% of people report feeling dry mouth'],['49% of people report feeling euphoric'],['55% of people report feeling happy'],,['28% of people say it helps with pain'],['4% of people report feeling paranoid'],['42% of people report feeling relaxed'],,['36% of people say it helps with stress'],['52% of people report feeling uplifted'],,,,['41% of people report feeling energetic'],['14% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG Chem,Hybrid,THC 21%,4.5,(176),129 people reported 982 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['11% of people report feeling anxious'],['20% of people say it helps with depression'],['12% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['55% of people report feeling euphoric'],['57% of people report feeling happy'],,['19% of people say it helps with pain'],['6% of people report feeling paranoid'],['45% of people report feeling relaxed'],,['27% of people say it helps with stress'],['50% of people report feeling uplifted'],,['44% of people report feeling creative'],,,['15% of people say it helps with fatigue'],,,,,,,['16% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Alien Dawg,Indica,THC 17%,4.3,(237),170 people reported 1472 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['32% of people say it helps with anxiety'],['5% of people report feeling anxious'],['23% of people say it helps with depression'],['10% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['27% of people report feeling dry mouth'],['51% of people report feeling euphoric'],['49% of people report feeling happy'],['30% of people say it helps with insomnia'],['31% of people say it helps with pain'],['5% of people report feeling paranoid'],['65% of people report feeling relaxed'],['42% of people report feeling sleepy'],['41% of people say it helps with stress'],['37% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunset,Indica,THC 17%,4.1,(56),43 people reported 199 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['23% of people say it helps with anxiety'],['2% of people report feeling anxious'],['13% of people say it helps with depression'],['2% of people report feeling dizzy'],['6% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['27% of people report feeling euphoric'],['27% of people report feeling happy'],['11% of people say it helps with insomnia'],,['6% of people report feeling paranoid'],['79% of people report feeling relaxed'],['39% of people report feeling sleepy'],['13% of people say it helps with stress'],,,,,,,['11% of people say it helps with ptsd'],,,,,['30% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar Cookie,Hybrid,THC 21%,4.3,(224),158 people reported 1030 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],['1% of people report feeling anxious'],['18% of people say it helps with depression'],['4% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['13% of people report feeling dry mouth'],['37% of people report feeling euphoric'],['50% of people report feeling happy'],['14% of people say it helps with insomnia'],['26% of people say it helps with pain'],,['67% of people report feeling relaxed'],['37% of people report feeling sleepy'],['24% of people say it helps with stress'],['35% of people report feeling uplifted'],,,['1% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sour Banana Sherbet,Hybrid,THC 19%,4.7,(198),143 people reported 944 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],['6% of people report feeling anxious'],['25% of people say it helps with depression'],['2% of people report feeling dizzy'],['6% of people report feeling dry eyes'],['19% of people report feeling dry mouth'],['51% of people report feeling euphoric'],['59% of people report feeling happy'],,['18% of people say it helps with pain'],['4% of people report feeling paranoid'],['58% of people report feeling relaxed'],,['28% of people say it helps with stress'],['47% of people report feeling uplifted'],,,,,,['11% of people say it helps with ptsd'],,['31% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Bird,Hybrid,Unavailable,4.7,(41),22 people reported 134 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['31% of people say it helps with anxiety'],['9% of people report feeling anxious'],['18% of people say it helps with depression'],['4% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['45% of people report feeling euphoric'],['45% of people report feeling happy'],,,,['54% of people report feeling relaxed'],,['18% of people say it helps with stress'],['50% of people report feeling uplifted'],,,['4% of people report feeling headache'],['31% of people report feeling energetic'],,,,,,,,,,,,['18% of people say it helps with muscle spasms'],,['13% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,
Pineapple Chunk,Hybrid,THC 18%,4.4,(365),255 people reported 2059 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['26% of people say it helps with anxiety'],['5% of people report feeling anxious'],['24% of people say it helps with depression'],['6% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['28% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['61% of people report feeling happy'],['14% of people say it helps with insomnia'],['31% of people say it helps with pain'],['5% of people report feeling paranoid'],['61% of people report feeling relaxed'],,['32% of people say it helps with stress'],['48% of people report feeling uplifted'],,,,['29% of people report feeling energetic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papaya Punch,Hybrid,THC 19%,4.4,(22),15 people reported 36 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['13% of people say it helps with anxiety'],,,,,['13% of people report feeling dry mouth'],['33% of people report feeling euphoric'],['40% of people report feeling happy'],['6% of people say it helps with insomnia'],,,,,['6% of people say it helps with stress'],,,,,,,,['20% of people report feeling talkative'],['20% of people report feeling focused'],,,,,['26% of people report feeling giggly'],,,,,,,,,,,,,,,,,,,,,,,,,
UK Cheese,Hybrid,THC 18%,4.1,(607),410 people reported 3166 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],,['27% of people say it helps with depression'],['6% of people report feeling dizzy'],['22% of people report feeling dry eyes'],['37% of people report feeling dry mouth'],['48% of people report feeling euphoric'],['60% of people report feeling happy'],['17% of people say it helps with insomnia'],['29% of people say it helps with pain'],['6% of people report feeling paranoid'],['53% of people report feeling relaxed'],,['33% of people say it helps with stress'],['46% of people report feeling uplifted'],['31% of people report feeling hungry'],,['5% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Trainwreck,Hybrid,THC 16%,4.2,(657),477 people reported 3559 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['23% of people say it helps with depression'],['6% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['31% of people report feeling dry mouth'],['58% of people report feeling euphoric'],['54% of people report feeling happy'],['14% of people say it helps with insomnia'],['31% of people say it helps with pain'],['7% of people report feeling paranoid'],['52% of people report feeling relaxed'],,['38% of people say it helps with stress'],['44% of people report feeling uplifted'],,['27% of people report feeling creative'],['4% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Widow,Hybrid,THC 17%,4.1,(330),228 people reported 1577 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],,['16% of people say it helps with depression'],['10% of people report feeling dizzy'],['22% of people report feeling dry eyes'],['34% of people report feeling dry mouth'],['47% of people report feeling euphoric'],['55% of people report feeling happy'],['15% of people say it helps with insomnia'],['22% of people say it helps with pain'],['6% of people report feeling paranoid'],['53% of people report feeling relaxed'],,['33% of people say it helps with stress'],['38% of people report feeling uplifted'],['29% of people report feeling hungry'],,['5% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemonnade,Hybrid,THC 18%,4.4,(16),10 people reported 45 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['20% of people say it helps with anxiety'],,['30% of people say it helps with depression'],,,['10% of people report feeling dry mouth'],['30% of people report feeling euphoric'],['40% of people report feeling happy'],,,,['30% of people report feeling relaxed'],,['20% of people say it helps with stress'],['20% of people report feeling uplifted'],,,,,['20% of people say it helps with fatigue'],,['20% of people report feeling talkative'],,,['20% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry Pie,Hybrid,THC 18%,4.4,(94),71 people reported 493 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],['1% of people report feeling anxious'],['19% of people say it helps with depression'],['1% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['36% of people report feeling euphoric'],['57% of people report feeling happy'],['19% of people say it helps with insomnia'],['30% of people say it helps with pain'],,['61% of people report feeling relaxed'],,['32% of people say it helps with stress'],['43% of people report feeling uplifted'],,,['1% of people report feeling headache'],,,,,,,,,,['23% of people report feeling giggly'],,,,,,,,,,,,,,,,,,,,,,,,,
Bacio Gelato,Hybrid,Unavailable,5.0,(8),3 people reported 13 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['66% of people report feeling euphoric'],['66% of people report feeling happy'],,,,['66% of people report feeling relaxed'],,['33% of people say it helps with stress'],,,,,,,,,,,,,,['66% of people report feeling giggly'],,,,,,,,,['66% of people report feeling aroused'],,,,,,,,,,,,,,,,
Wookies,Hybrid,THC 20%,4.7,(104),74 people reported 526 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],['4% of people report feeling anxious'],['22% of people say it helps with depression'],['4% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['36% of people report feeling euphoric'],['54% of people report feeling happy'],['28% of people say it helps with insomnia'],['27% of people say it helps with pain'],,['74% of people report feeling relaxed'],['32% of people report feeling sleepy'],['33% of people say it helps with stress'],['33% of people report feeling uplifted'],,,['4% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great White Shark,Sativa,THC 15%,4.1,(480),341 people reported 2397 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],['4% of people report feeling anxious'],['24% of people say it helps with depression'],['4% of people report feeling dizzy'],['19% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['45% of people report feeling euphoric'],['60% of people report feeling happy'],,['27% of people say it helps with pain'],,['47% of people report feeling relaxed'],,['36% of people say it helps with stress'],['46% of people report feeling uplifted'],,,['4% of people report feeling headache'],['33% of people report feeling energetic'],['12% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
